date,parent,child
2020-06-02 0:00:00,100000,100032
2020-06-02 0:20:00,100000,14106
2020-06-02 0:40:00,100000,14133
2020-06-02 1:00:00,100000,157817
2020-06-02 1:20:00,100000,15856
2020-06-02 1:40:00,100000,1610
2020-06-02 2:00:00,100000,23117
2020-06-02 2:20:00,100000,2523186
2020-06-02 2:40:00,100000,2523187
2020-06-02 3:00:00,100000,256744
2020-06-02 3:20:00,100000,26812
2020-06-02 3:40:00,100000,272562
2020-06-02 4:00:00,100000,291958
2020-06-02 4:20:00,100000,2973
2020-06-02 4:40:00,100000,31205
2020-06-02 5:00:00,100000,322409
2020-06-02 5:20:00,100000,35740
2020-06-02 5:40:00,100000,4152
2020-06-02 6:00:00,100000,421338
2020-06-02 6:20:00,100000,5582
2020-06-02 6:40:00,100000,7086
2020-06-02 7:00:00,100000,8796
2020-06-02 7:20:00,100000,93566
2020-06-02 7:40:00,10000,107
2020-06-02 8:00:00,100001,11896
2020-06-02 8:20:00,100001,15923
2020-06-02 8:40:00,100001,1610
2020-06-02 9:00:00,100001,20007
2020-06-02 9:20:00,10000,120220
2020-06-02 9:40:00,10000,122837
2020-06-02 10:00:00,100001,2523384
2020-06-02 10:20:00,100001,2523385
2020-06-02 10:40:00,100001,2523386
2020-06-02 11:00:00,100001,2523387
2020-06-02 11:20:00,100001,2523388
2020-06-02 11:40:00,10000,131915
2020-06-02 12:00:00,10000,156992
2020-06-02 12:20:00,100001,6631
2020-06-02 12:40:00,10000,169184
2020-06-02 13:00:00,100001,805153
2020-06-02 13:20:00,10000,333321
2020-06-02 13:40:00,10000,369559
2020-06-02 14:00:00,10000,463189
2020-06-02 14:20:00,10000,463190
2020-06-02 14:40:00,10000,463191
2020-06-02 15:00:00,10000,463192
2020-06-02 15:20:00,10000,463193
2020-06-02 15:40:00,10000,463194
2020-06-02 16:00:00,10000,463195
2020-06-02 16:20:00,10000,463196
2020-06-02 16:40:00,10000,463197
2020-06-02 17:00:00,10000,463198
2020-06-03 1:00:00,10000,463199
2020-06-03 1:20:00,10000,463200
2020-06-03 1:40:00,10000,463201
2020-06-03 2:00:00,10000,463202
2020-06-03 2:20:00,10000,463203
2020-06-03 2:40:00,10001,107
2020-06-03 3:00:00,10001,263361
2020-06-03 3:20:00,10001,460593
2020-06-03 3:40:00,10001,461111
